"Seychelles ","Seychelles","Victoria","Oui","Afrique","Seychelloise"
"Sierra Leone ","Sierra Leone","Freetown","Oui","Afrique","Sierra-leonaise"
"Singapour","Singapore","Singapour","Oui","Asie","Singapourienne"
"Slovaquie ","Slovakia","Bratislava","Oui","Europe","Slovaque"
"Slovénie ","Slovenia","Ljubljana","Oui","Europe","Slovène"
"Somalie ","Somalia","Mogadiscio","Oui","Afrique","Somalienne"
"Soudan ","Sudan ","Khartoum","Oui","Afrique","Soudanaise"
"Soudan du Sud ","South Sudan","Djouba","Oui","Afrique","Sud soudanaise"
"Sri Lanka","Sri Lanka","Sri Jayawardenapura","Oui","Asie","Sri-lankaise"
"Suède ","Sweden","Stockholm","Oui","Europe","Suédoise"
"Suisse ","Switzerland","Berne","Oui","Europe","Suisse"
"Suriname ","Suriname","Paramaribo","Oui","Amérique du Sud","Surinamaise"
"Tadjikistan ","Tajikistan","Douchanbe","Oui","Asie","Tadjike"
"Taïwan (Province de Chine)","Taiwan (Province of China)","Taipei","Oui","Asie","Taiwanaise"
"Tanzanie (la République-Unie de)","Tanzania, the United Republic of","Dodoma","Oui","Afrique","Tanzanienne"
"Tchad ","Chad","N'Djamena","Oui","Afrique","Tchadienne"
"Tchéquie ","Czechia","Prague","Oui","Europe","Tchèque"
"Thaïlande ","Thailand","Bangkok","Oui","Asie","Thaïlandaise"
"Timor-Leste ","Timor-Leste","Dili","Oui","Asie","Est-timoraise"
"Togo ","Togo","Lome","Oui","Afrique","Togolaise"
"Tonga ","Tonga","Nukualofa","Oui","Océanie","Tongienne"
"Trinité-et-Tobago ","Trinidad and Tobago","Port of Spain","Oui","Amérique du Nord","Trinidadienne"
"Tunisie ","Tunisia","Tunis","Oui","Afrique","Tunisienne"
"Turkménistan ","Turkmenistan","Achgabat","Oui","Asie","Turkmène"
"Turquie ","Turkey","Ankara","Oui","Asie","Turque"
"Tuvalu ","Tuvalu","Fanafuti","Oui","Océanie","Tuvaluane"
"Ukraine ","Ukraine","Kiev","Oui","Europe","Ukrainienne"
"Uruguay ","Uruguay","Montevideo","Oui","Amérique du Sud","Uruguayenne"
"Vanuatu ","Vanuatu","Port-Vila","Oui","Océanie","Vanuatuane"
"Venezuela (République bolivarienne du)","Venezuela (Bolivarian Republic of)","Caracas","Oui","Amérique du Sud","Vénézuélienne"
"Viet Nam ","Viet Nam","Hanoi","Oui","Asie","Vietnamienne"
"Yémen ","Yemen","Sanaa","Oui","Asie","Yéménite"
"Zambie ","Zambia","Lusaka","Oui","Afrique","Zambienne"
"Zimbabwe ","Zimbabwe","Harare","Oui","Afrique",
